OBJECTID,Shape,ZIPCODE,COUNTY,Shape_Length,Shape_Area
1,"(47.35539263600003, -122.29061174099996)",98001,33,65890.45514,106356173.8
2,"(47.353754397000046, -122.22920999499996)",98002,33,46055.0371,41513546.33
3,"(47.35745195000004, -122.30299507799998)",98003,33,54169.12904,64029097.96
4,"(47.64641883300004, -122.21195084799996)",98004,33,44872.03379,51205808.91
5,"(47.66056221400004, -122.15354361399994)",98005,33,51448.97183,42836829.98
6,"(47.57610361500008, -122.12669830499999)",98006,33,47033.78684,67871604.83
7,"(47.66064227900006, -122.14326576199994)",98007,33,50132.25392,24009907.52
8,"(47.646083900000065, -122.11174926399997)",98008,33,41531.69591,45282196.62
9,"(47.340957254000045, -122.01921110399996)",98010,33,60320.60079,104689801
10,"(47.776369800000055, -122.18361722299994)",98011,33,32151.67405,40733912.61
11,"(47.82959476600007, -122.24393479399998)",98012,61,50309.58453,86910758.39
12,"(47.70489776000005, -121.86336504499997)",98014,33,102942.1875,237438803.9
13,"(47.776634073000025, -121.95168908)",98019,33,141573.3729,654774593.1
14,"(47.83640186700006, -122.35707352199995)",98020,61,40481.29587,104011813.6
15,"(47.77642411000005, -122.19629550399998)",98021,61,46128.96306,56164657.69
16,"(47.37208234700006, -121.84835358499998)",98022,33,330064.3547,2286945422
17,"(47.087247769000044, -121.37996163999998)",98022,53,132373.347,501192064.8
18,"(47.339501564000045, -122.33437124199997)",98023,33,49442.78118,104089708.1
19,"(47.68665425200004, -121.68438199899998)",98024,33,163819.1413,445995509
20,"(47.87442853700003, -122.29139513999996)",98026,61,64578.09573,96217314.06
21,"(47.57204559300004, -122.07917101599998)",98027,33,124258.3956,340637850.1
22,"(47.76909367600007, -122.22787972499998)",98028,33,32397.58815,41008844.85
23,"(47.58429568100007, -121.97642224799995)",98029,33,50168.81556,56564378.16
24,"(47.386916159000066, -122.21005827199997)",98030,33,42474.66904,40500999.59
25,"(47.43750364700003, -122.21842289699998)",98031,33,53101.06512,46209556.59
26,"(47.44121579900008, -122.24186949799997)",98032,33,75046.27181,97785732.98
27,"(47.70401103700004, -122.20597289099999)",98033,33,46260.84949,67903610.13
28,"(47.74036136700005, -122.18536131899998)",98034,33,47160.89506,66706500.66
29,"(47.82959476600007, -122.24393479399998)",98036,61,50694.15769,55009115.02
30,"(47.850181630000066, -122.29810553099998)",98037,61,35449.46077,34801943.81
31,"(47.459846784000035, -122.03701482299999)",98038,33,142468.7419,334521238.2
32,"(47.639261840000074, -122.23273305999999)",98039,33,27712.89191,31720367.22
33,"(47.52405614700007, -122.21572924499998)",98040,33,38964.77928,72524676.8
34,"(47.42511105700004, -122.15060655199994)",98042,33,93351.04104,154167614.8
35,"(47.77732046600005, -122.28680109399994)",98043,61,21299.82676,23822482.52
36,"(47.571736163000025, -121.59817801099996)",98045,33,284825.9363,1635546192
37,"(47.280621997000026, -122.23106736699998)",98047,33,18147.13991,9765611.229
38,"(47.257341559000054, -122.26205252399996)",98047,53,8949.75813,3893093.404
39,"(47.39288118300004, -121.94631758799994)",98051,33,95188.91654,232513415
40,"(47.73291409900003, -122.13587488699994)",98052,33,73666.06277,114554488.5
41,"(47.720313830000066, -122.02846013799996)",98053,33,90986.88071,158467801.3
42,"(47.47357939400007, -122.18562578599995)",98055,33,30865.4656,25214870.72
43,"(47.54544277300005, -122.19481266499997)",98056,33,40889.0147,47488943.71
44,"(47.50105571300003, -122.20469499099994)",98057,33,39955.77015,38571251.7
45,"(47.47771391100008, -122.17975971499999)",98058,33,78511.79576,127431346.6
46,"(47.54144286600007, -122.14281466399996)",98059,33,65660.9834,94029554.88
47,"(47.62889100000007, -121.70472318099996)",98065,33,156023.8324,490079791.6
48,"(47.52285161900005, -121.27354917499997)",98068,37,99305.59119,358807635.6
49,"(47.52181815700004, -122.43310355599999)",98070,33,92754.2424,461256178.2
50,"(47.776196122000044, -122.15419018799997)",98072,33,54139.21389,77385937.3
51,"(47.80220882700007, -122.11039437)",98072,61,35483.45729,31135768.15
52,"(47.64936235500005, -122.07480556299998)",98074,33,52784.1174,76842667.39
53,"(47.601828373000046, -122.07802964099994)",98075,33,59849.9409,68543565.67
54,"(47.77543570800003, -122.00774325599997)",98077,33,53043.32275,86200143.36
55,"(47.775808737000034, -122.06316293599997)",98077,61,22725.24437,15615811.28
56,"(47.867133283000044, -122.22795025499994)",98087,61,30885.16384,32300749.41
57,"(47.350714595000056, -122.18677346999999)",98092,33,118332.6339,245227880.3
58,"(47.25755040200005, -122.22933176899994)",98092,53,13027.32851,6408418.253
59,"(47.61843728600007, -122.33001547899994)",98101,33,15641.10257,5022785.925
60,"(47.649513065000065, -122.31593016999994)",98102,33,16959.94984,8838728.091
61,"(47.70111708700006, -122.32849836199995)",98103,33,32331.93709,29490956.36
62,"(47.61204519300003, -122.32220463299996)",98104,33,19582.45419,7924790.416
63,"(47.67381195300004, -122.30977711499997)",98105,33,37314.14727,30793084.39
64,"(47.582422036000025, -122.35991783299994)",98106,33,39363.01432,31213904.78
65,"(47.67581982200005, -122.40585346999995)",98107,33,21716.13055,13741277.83
66,"(47.57192457800005, -122.30174596499995)",98108,33,38290.00785,43817860.07
67,"(47.648902742000075, -122.35243087699996)",98109,33,18428.81771,13566179.76
68,"(47.59365013900003, -122.55056541699997)",98110,35,86425.97828,378899271.4
69,"(47.64761703700003, -122.28728784099997)",98112,33,24613.72148,28700703.61
70,"(47.700377212000035, -122.32781692599997)",98115,33,39158.26137,49837255.85
71,"(47.59403727200004, -122.36537693599996)",98116,33,38487.99272,75587905.96
72,"(47.70230515000003, -122.44804159999995)",98117,33,32228.547,36499255.52
73,"(47.57407082000003, -122.25913052599998)",98118,33,39525.62683,52425210.72
74,"(47.65663962100007, -122.36798211499996)",98119,33,25057.98109,22676944.93
75,"(47.618617769000025, -122.35847800999994)",98121,33,12582.34393,5681266.803
76,"(47.61931264100008, -122.32272235899995)",98122,33,26311.53122,18459322.47
77,"(47.73405517200007, -122.32375985199997)",98125,33,32084.56866,36933433.17
78,"(47.59403727200004, -122.36537693599996)",98126,33,37936.52938,21602583.42
79,"(47.77776727600008, -122.33533471399994)",98133,33,43085.85946,40121487.45
80,"(47.59628855700004, -122.33418933699994)",98134,33,26550.82873,25527700.72
81,"(47.557269777000045, -122.39943090699995)",98136,33,32789.45678,48759139.15
82,"(47.60084903300003, -122.31413106999997)",98144,33,26097.91714,28191940.07
83,"(47.514671528000065, -122.34972929699995)",98146,33,37607.06192,52397046.77
84,"(47.47024750600008, -122.31294202999999)",98148,33,31260.26083,16159407.42
85,"(47.606096026000046, -122.33301660099994)",98154,33,499.7958705,0
86,"(47.76965619500004, -122.26951692499995)",98155,33,32837.39482,47490625.54
87,"(47.44400118300007, -122.29623224899996)",98158,33,15582.11648,11805505.04
88,"(47.60585382100004, -122.33123806399999)",98164,33,504.1527629,0
89,"(47.48208094300003, -122.34910663799997)",98166,33,46694.39724,85027132.21
90,"(47.51559847200008, -122.29258805499995)",98168,33,47515.94401,52643111.64
91,"(47.777928227000075, -122.40398932099998)",98177,33,52181.77573,105408793.5
92,"(47.512958283000046, -122.22167315299998)",98178,33,31350.95263,30991531.02
93,"(47.474177594000025, -122.24997845699994)",98188,33,42615.25703,44402491.22
94,"(47.66119925300006, -122.304686044)",98195,33,9208.326553,5444986.163
95,"(47.423255323000035, -122.32097250099997)",98198,33,54169.2601,67190935
96,"(47.664656517000026, -122.39473324099998)",98199,33,41097.76241,85545444.38
97,"(47.98374150300003, -122.16832528499998)",98201,61,54484.26728,137990091.2
98,"(47.964910314000065, -122.18902790799996)",98203,61,51727.7365,89422978.34
99,"(47.921996662000026, -122.23165803599994)",98204,61,37850.23719,51692659.37
100,"(47.97820673900003, -122.05629121199996)",98205,61,92482.29642,131167016.5
101,"(48.02662164700007, -122.29896223499998)",98260,61,19957.5344,26075530.69
102,"(47.942212149000056, -122.18468553699995)",98208,61,63996.63837,74667982.23
103,"(48.298582028000055, -121.66417052499997)",98223,61,261911.7402,1920767542
104,"(47.78010485300007, -121.36426408399996)",98224,33,84846.25752,353261098.3
105,"(48.125324705000025, -120.95581711999995)",98241,61,223738.1814,2237650962
106,"(47.878772060000074, -121.71270169499996)",98251,61,77380.05004,281176771.3
107,"(48.12453415900006, -121.66598693299994)",98252,61,298607.0206,2381236743
108,"(48.10136328300007, -122.043128508)",98258,61,85788.83028,155148814.1
109,"(48.06415845600003, -122.11153272699994)",98270,61,59147.06779,83465724.08
110,"(48.09196846700007, -122.14058028799997)",98271,61,124861.8958,391536766.2
111,"(47.77710988600006, -121.90517553799998)",98272,61,127804.4195,518180524.2
112,"(47.93656262600007, -122.28861941999997)",98275,61,46420.58578,74252256.18
113,"(48.225047697000036, -122.39716058399995)",98282,61,11067.75525,5066108.719
114,"(47.72029180900006, -121.41014558999996)",98288,33,219197.0765,1789427479
115,"(47.94983278800004, -121.86125948399996)",98290,61,158203.3571,590263678.9
116,"(48.29751589400007, -122.20394759899995)",98292,61,129435.3208,551802704.8
117,"(47.77728444200005, -121.71317227899999)",98294,61,282148.8658,2257942520
118,"(47.92247121500003, -122.14997333399998)",98296,61,119882.4747,216081079.2
119,"(47.13552556800005, -122.66596012399998)",98303,53,38587.05572,0
120,"(46.76450836300006, -121.91788016099997)",98304,53,65831.00848,63664460.91
121,"(47.60677007500004, -122.65742868499996)",98310,35,28408.42793,43965335.2
122,"(47.65286471600007, -122.59650782399996)",98311,35,36563.46135,78001945.14
123,"(47.65191236100003, -122.77273704499999)",98312,35,104689.2898,401316275.9
124,"(47.54768522900008, -122.64194211899996)",98314,35,15329.83485,10673579.64
125,"(47.73369230800006, -122.69412976499996)",98315,35,44936.66955,81613643.8
126,"(47.17403615500007, -122.02293131899995)",98321,53,91181.63047,229538728.3
127,"(47.112245905000066, -122.01474739099996)",98323,53,72076.66288,0
128,"(47.13481463800008, -122.64318908199999)",98327,53,39805.78354,57079512.66
129,"(46.936821992000034, -122.22949811199999)",98328,53,135604.2845,539841319.4
130,"(47.40342848300003, -122.63126873599998)",98329,53,56335.11657,169659612.8
131,"(46.76302358700008, -122.16198694599996)",98330,53,20343.06781,10539575.23
132,"(47.334148576000075, -122.535293707)",98332,53,55806.02702,158862503.1
133,"(47.21350348900006, -122.59251029599994)",98333,53,42177.11995,0
134,"(47.32440274900006, -122.56264392399999)",98335,53,66881.46155,201377892.2
135,"(47.56680394000006, -122.61947430299995)",98337,35,14110.1101,8200591.983
136,"(47.083682655000075, -122.29294398299999)",98338,53,100275.0282,319602079.2
137,"(47.89189866500004, -122.48085519999995)",98340,35,53364.00035,157314051.4
138,"(47.76925381500007, -122.50399755399997)",98342,35,27377.90893,40173322.26
139,"(47.700485901000036, -122.61035531699997)",98345,35,10047.31366,5495697.448
140,"(47.88951679300004, -122.53042662499996)",98346,35,98843.08979,328018407.5
141,"(47.33769878500004, -122.69244745399999)",98349,53,71400.5243,216547994.1
142,"(47.21387380400006, -122.73235005899994)",98351,53,44803.1731,99407809.75
143,"(47.26460582300007, -122.31646374299999)",98354,33,10373.68702,2882808.598
144,"(47.257264863000046, -122.33521700499995)",98354,53,18626.28638,11602738.46
145,"(47.461321704000056, -122.51934579299996)",98359,35,41407.07108,91425075.26
146,"(47.13951193500003, -122.22705531999998)",98360,53,113620.9963,292033690.7
147,"(47.58256341200007, -122.53997095599999)",98366,35,71026.33413,225115740.2
148,"(47.53019014100005, -122.68386755399996)",98367,35,102172.9667,454302740.1
149,"(47.85787041800006, -122.57708432199996)",98370,35,135965.3267,429382181.1
150,"(47.24271662500007, -122.29385076799997)",98371,53,42255.49633,72954528.3
151,"(47.25723959900006, -122.28740958699996)",98372,53,48885.47878,75225927.97
152,"(47.16964351300004, -122.292808047)",98373,53,28800.48775,51778227.19
153,"(47.16957124500004, -122.21532782399998)",98374,53,48422.35072,93769338.16
154,"(47.12578396100008, -122.29237055599998)",98375,53,29218.09432,0
155,"(47.67214413200003, -122.78499238699999)",98380,35,99696.36089,358439298.4
156,"(47.701187891000075, -122.69222592999995)",98383,35,63178.4716,119081451.5
157,"(47.13366965300003, -122.10201113199997)",98385,53,6221.719804,2248523.956
158,"(47.11181613900004, -122.43196848099996)",98387,53,99547.52468,120182822.8
159,"(47.202288847000034, -122.61415559199997)",98388,53,66282.99506,150763202.5
160,"(47.25071183500006, -122.23514560999996)",98390,53,45824.7734,52195434.94
161,"(47.255495480000036, -122.14232381599999)",98391,53,87849.97318,217090245.1
162,"(47.749036111000066, -122.55685137299997)",98392,35,20387.74371,13785579.72
163,"(47.34075607600005, -122.75925995799997)",98394,53,29200.05363,44080491.51
164,"(47.112245905000066, -122.01474739099996)",98396,53,328519.7256,2401413934
165,"(46.99414843100004, -121.53525166599997)",98397,53,191099.3045,1697904083
166,"(47.23337859000003, -122.43241008999996)",98402,53,13469.31046,5413117.107
167,"(47.29078751900005, -122.42889925299994)",98403,53,18884.62123,19157476.72
168,"(47.23495303400006, -122.38899991399995)",98404,53,27632.27826,43470698.38
169,"(47.23639133800003, -122.44091988899999)",98405,53,22552.04596,24037146.01
170,"(47.27120954700007, -122.52125090099997)",98406,53,30670.54634,25678378.05
171,"(47.32440274900006, -122.56264392399999)",98407,53,40176.04142,82175546.21
172,"(47.21494194100006, -122.43116512999995)",98408,53,18369.48529,19292054.59
173,"(47.23639133800003, -122.44091988899999)",98409,53,33202.54701,40976013.1
174,"(47.26530747700008, -122.47794178999999)",98416,53,4347.928092,823493.7151
175,"(47.21494194100006, -122.43116512999995)",98418,53,12463.02668,9437667.498
176,"(47.258048691000056, -122.35580309499994)",98421,53,31986.69268,49506368.94
177,"(47.26071209200006, -122.33146615599998)",98422,33,8761.838945,485635.5792
178,"(47.330534158000034, -122.43265841999994)",98422,53,39738.18353,57675757.06
179,"(47.24050210900003, -122.39963144999996)",98424,53,31548.7565,30520938.91
180,"(47.11786868100006, -122.55649745299996)",98430,53,7468.55022,0
181,"(47.15886501600005, -122.59307465999996)",98433,53,163318.8717,596161293.7
182,"(47.155692041000066, -122.47443980699995)",98438,53,33180.05336,35924170.67
183,"(47.11946543300007, -122.51307118899996)",98439,53,13973.48453,6491648.85
184,"(47.22249239800004, -122.35710735699996)",98443,53,23267.21242,27905440.72
185,"(47.16265573000004, -122.43142858599998)",98444,53,38068.97023,38924871.89
186,"(47.181079424000075, -122.38925942299994)",98445,53,42882.51501,60611777.2
187,"(47.18108601000006, -122.35729318499995)",98446,53,41359.11417,60789583.95
188,"(47.14412448200005, -122.44762653699996)",98447,53,4216.250169,637183.6864
